gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,monthly_total_ratio
1,0,1,0,1.0421577558197987,1,2,1,0,0,2,0,2,2,1,0,1,1.181757322309704,1.4990665744239262,0,4,-0.5002236257736453
1,0,0,0,0.6754621043330061,1,2,1,0,2,2,0,2,2,0,1,0,1.2931128075977727,1.2145888969272465,1,4,-0.4895624761528129
1,0,0,0,-0.3023929662984406,1,0,1,2,0,2,2,2,2,0,1,2,1.3529456056630036,0.17768805707524432,0,2,-0.4215079422141941
0,0,1,1,1.4903413298592119,1,2,1,2,2,2,2,2,2,2,0,1,1.6105590417771916,2.475877681529266,0,5,-0.5123153594780935
0,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,1,0,3,-1.4675060142452372,-0.5560508161330804,0,4,-0.4910908454296393
1,0,0,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,0,1.3928341377064908,2.2495926306793175,0,5,-0.5119174470952252
0,0,1,1,-0.9135523854430948,1,0,0,0,0,2,2,0,0,0,0,1,-0.3190486958265014,-0.7742621363716935,1,0,-0.18459036760762532
0,0,0,0,-0.46536881140368175,1,0,1,0,2,2,0,0,2,0,1,2,0.8393807556031058,-0.18547540482207542,0,1,-0.3885290138753017
1,1,0,0,-1.2802480369298874,0,1,0,0,0,2,0,0,2,0,1,2,-0.8359375902233565,-0.9898704505662146,1,0,2.9897427995926797
1,0,1,0,-0.8320644628904743,1,0,2,1,1,1,1,1,1,1,0,0,-1.495760391109374,-0.9181333687409043,0,0,-0.20959473157856687
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4841262359300234,-0.9984736061356706,1,0,2.907093771207539
0,0,1,0,1.0421577558197987,1,2,0,0,2,0,2,0,0,2,1,1,-0.16281861198951006,0.5390426503656527,0,4,-0.5023233294064456
1,0,1,1,0.6754621043330061,1,0,0,2,2,0,2,0,0,0,0,1,-0.17279074500038175,0.3030955940300073,0,4,-0.49148599729349635
0,0,0,0,-0.09867315991688919,1,0,0,2,2,0,0,0,0,0,1,0,-0.3157246514895444,-0.33208199947490835,0,2,-0.4330095865858054
1,0,1,1,0.5939741817803856,1,2,1,0,2,0,0,2,2,0,1,2,1.1485168789401314,1.0879019163236925,1,3,-0.48836469164138685
1,0,1,1,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,2,-1.150059780065818,-0.9940396721114126,1,0,2.9625914934112743
1,0,1,0,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,1,0.8460288442770204,1.802757966025724,0,5,-0.512954724383197
0,0,0,1,-0.6283446565089229,1,0,0,0,0,0,0,2,2,0,1,3,-0.0032644838155611237,-0.5251015154562937,1,1,-0.34909154188965696
0,1,1,0,1.5718292524118322,1,2,1,2,2,2,2,0,0,2,1,1,1.0487955488314133,1.9781299834030968,0,5,-0.5127024082769478
1,1,1,0,-1.2395040756535771,1,0,1,0,0,2,0,2,2,0,1,1,1.0205411719672768,-0.9272218305219706,0,0,1.340696723492447
0,0,1,1,-0.22090504374582004,1,0,0,2,2,2,2,0,0,1,0,3,0.044934159070319335,-0.18037968960016687,0,2,-0.4360504674239891
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,0,-1.4824642137615447,-0.9984515467624158,0,0,2.9075001189341783
1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,0,-0.6497911073537496,-0.9873998007616529,0,0,3.000596799228922
0,0,1,1,1.6125732136881425,1,2,1,2,2,0,2,2,0,2,0,0,1.1667991227933967,2.1919956071104716,0,5,-0.5143860494359795
1,0,0,0,-1.1172721918246462,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.8675512258671538,1,0,0.23436528474494783
0,0,0,0,0.5532302205040753,1,0,1,0,0,2,0,0,0,0,1,1,0.3324639942171226,0.5581019488579861,0,3,-0.4877836649181671
1,0,0,0,0.06430268518835193,1,2,1,0,2,2,0,2,2,0,1,2,1.3811999825271402,0.5585210769498313,1,2,-0.45542140734333475
0,0,0,0,-0.8728084241667845,1,2,1,0,0,2,0,2,2,0,1,0,1.0986562138857725,-0.5196749096355598,1,0,-0.24230655384218058
1,0,1,1,-0.9135523854430948,1,0,0,0,2,0,0,0,0,1,0,3,-0.5068572008645872,-0.7974906564092247,0,0,-0.18581128635865735
0,0,1,1,1.5310852911355222,1,2,0,2,2,0,0,2,0,2,1,1,0.14631751134751586,1.142256212024051,0,5,-0.5128355530484221
0,0,1,1,-0.6283446565089229,1,0,2,1,1,1,1,1,1,1,0,3,-1.4641819699082799,-0.8228368762792375,0,1,-0.3842274427988781
0,0,0,0,1.24587756220135,1,2,0,2,2,2,2,2,0,2,1,1,0.5003282332334644,1.1374472686544572,0,5,-0.5047383561241918
0,0,1,0,-0.791320501614164,1,2,0,2,2,0,2,2,0,0,1,2,0.3790006149345245,-0.5743600959347432,0,1,-0.28194845881826763
0,0,0,0,0.6754621043330061,1,2,1,0,0,0,0,0,2,0,1,2,0.6548962949019775,0.7162235363499369,0,4,-0.4857816890385345
1,0,0,0,-1.2395040756535771,1,0,0,0,2,0,0,0,0,0,0,3,-0.5168293338754589,-0.9645683494427119,0,0,1.2666990968038867
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,2,0,0,1,2,0.526920587929123,-0.9437663604632323,1,0,1.4601246503951
1,0,0,0,0.797693988161937,1,2,0,2,0,0,2,2,2,2,1,1,0.4970041888965074,0.8534769567426433,0,4,-0.49569506913850214
0,0,1,1,1.4903413298592119,1,2,0,2,0,2,2,0,0,2,1,1,-0.021546727668825993,0.8694920617257846,0,5,-0.5096421704981224
0,1,0,0,0.4309983366751445,1,2,1,0,2,0,0,2,0,0,1,2,0.8460288442770204,0.6862448480963709,0,3,-0.47893044954009
0,0,0,0,-0.7098325790615434,1,0,1,2,2,0,0,2,2,0,1,1,1.1402067680977384,-0.3780537333383605,1,1,-0.31158944104710234
0,1,1,0,-0.3023929662984406,1,2,0,2,0,0,2,2,0,0,1,1,0.15628964435838757,-0.23411632284938455,0,2,-0.42016245466435737
0,1,1,0,-0.9950403079957154,1,2,1,0,2,0,0,0,0,0,1,1,0.526920587929123,-0.727959511909416,1,0,-0.10125581195493047
0,1,1,1,1.1236456783724194,1,0,0,2,2,2,2,0,2,1,1,1,0.33412601638560113,0.9587222265423222,0,4,-0.5033874435397383
1,1,0,0,-0.5876006952326126,1,2,1,0,0,0,0,2,2,0,1,2,1.0188791497987983,-0.23416044159589464,1,1,-0.3662288319354857
0,0,1,1,1.24587756220135,1,2,1,2,0,0,0,2,2,1,1,1,1.1584890119510036,1.7770587961836308,0,5,-0.5070518133512768
1,1,1,1,1.368109446030281,1,2,1,0,2,2,2,2,2,1,1,2,1.451004913603243,2.114633385105133,0,5,-0.5087402686774292
0,0,1,1,0.06430268518835193,1,2,2,1,1,1,1,1,1,2,0,1,-1.3245721077560746,-0.6128095835182352,0,2,-0.4630295779369049
0,0,0,0,1.6125732136881425,1,2,1,0,0,2,2,2,2,2,1,1,1.419426492402149,2.457590461100858,0,5,-0.5147071094128102
0,0,1,0,0.5939741817803856,1,2,1,0,0,2,0,2,2,0,1,2,1.1867433888151402,1.0693499834162248,0,3,-0.4867939187009559
1,0,0,0,1.1236456783724194,1,2,1,0,2,0,0,2,0,0,1,0,0.8343946890976701,1.3974169824648146,0,4,-0.5044887212821284
1,0,1,0,1.6125732136881425,0,1,0,2,2,2,0,0,0,2,0,0,-0.7544985039679034,0.2994337380696746,0,5,-0.512803141618015
0,0,1,1,-0.5876006952326126,1,0,0,0,0,2,2,0,0,1,1,1,-0.3456410505221597,-0.5851030107099358,0,1,-0.35767788882854085
0,0,0,0,-0.9542963467194051,1,2,1,0,0,0,0,2,2,0,0,2,0.9839766842607471,-0.6291555791002016,1,0,-0.1637744835875194
0,0,0,0,-1.1987601143772668,1,0,0,0,2,0,2,2,2,0,1,2,0.3490842159019089,-0.8996696733264564,0,0,0.5549255349015215
1,0,1,0,0.5939741817803856,1,2,1,0,2,0,0,0,0,1,1,2,0.4687498120323708,0.6031251296714726,0,3,-0.48583826882923165
0,0,0,0,-0.05792919864057891,1,0,0,0,2,2,2,2,2,2,0,3,0.4787219450432425,0.09436980429105073,0,2,-0.44905471335460717
0,0,1,1,0.7162060656093164,1,0,2,1,1,1,1,1,1,2,0,0,-1.4841262359300234,-0.5966621222955638,0,4,-0.48578708756189626
1,0,0,0,-0.9135523854430948,1,0,1,2,0,2,0,0,0,0,1,3,0.5003282332334644,-0.6158758364006823,0,0,-0.237038265038632
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,2,0,0,0,0,3,-0.5234774225493735,-0.9857232883942716,0,0,3.0065787363054537
0,0,1,1,0.797693988161937,1,0,2,1,1,1,1,1,1,1,1,2,-1.4758161250876303,-0.5261824247457894,0,4,-0.49648279012659813
1,1,1,1,1.2866215234776603,1,2,1,2,0,2,2,2,2,2,1,0,1.5557123102173966,2.124626281189655,0,5,-0.5073017128324437
1,0,1,1,1.2051336009250397,1,2,2,1,1,1,1,1,1,2,1,0,-1.3478404181147754,-0.3788478707755411,0,5,-0.502593450109849
0,0,0,1,-1.1987601143772668,1,0,0,2,0,0,2,0,2,0,1,0,-0.009912572489475751,-0.929096877248647,0,0,0.7528858509028039
0,1,0,0,0.9606698332671781,1,2,1,2,2,2,0,2,2,1,0,2,1.5191478225108668,1.7013069084259078,0,4,-0.49900452589174443
0,0,0,0,0.5532302205040753,1,0,0,0,0,0,0,0,2,1,0,1,-0.30409049631019386,0.17892338197752508,0,3,-0.48918911295477396
0,0,1,1,-0.9950403079957154,1,0,0,2,2,0,0,0,0,0,0,3,-0.3373309396797665,-0.7946008785128177,0,0,-0.15248839051378799
1,1,0,0,-0.09867315991688919,1,0,0,2,2,0,0,2,2,0,1,2,0.33080197204864403,-0.07588443849115852,0,2,-0.4356261974564204
0,0,1,1,0.512486259227765,1,2,2,1,1,1,1,1,1,1,1,1,-1.2929936865549807,-0.47061486351640547,0,3,-0.48706662248236166
0,0,0,1,-1.2802480369298874,1,0,1,0,0,0,0,2,0,0,1,2,0.48370801154867815,-0.9723553082017324,1,0,3.034034070110271
0,0,1,1,-0.8728084241667845,0,1,0,2,0,0,0,2,2,0,0,2,-0.47361675749501453,-0.757938200162982,0,0,-0.23933389909163727
0,0,1,0,-1.0357842692720256,1,0,1,0,0,2,0,0,0,0,1,0,0.3440981493964733,-0.7881374821490981,1,0,-0.01458090534110656
0,0,0,0,0.3902543753988342,1,0,1,0,2,2,2,2,2,0,1,0,1.2964368519347298,0.9018752216641471,0,3,-0.4771942488617838
0,0,1,0,0.6754621043330061,1,0,2,1,1,1,1,1,1,2,1,0,-1.4841262359300234,-0.5779337144020558,0,4,-0.48921984017582393
1,0,0,0,-0.9542963467194051,1,2,1,0,2,0,0,2,2,0,1,1,1.1468548567716528,-0.6020225499965326,0,0,-0.17116131070948534
0,0,1,0,0.10504664646466222,1,0,0,2,0,0,0,2,0,1,1,0,-0.08802761440797156,-0.029934764000961456,0,2,-0.46240069921161786
0,0,1,1,0.6347181430566958,1,0,2,1,1,1,1,1,1,2,0,0,-1.4675060142452372,-0.5410283829464149,0,3,-0.493455930773852
0,0,1,1,0.5532302205040753,1,0,2,1,1,1,1,1,1,2,1,3,-1.4907743246039378,-0.5983386346629451,0,3,-0.4862497368197333
1,0,1,0,-0.13941712119319946,0,1,0,0,0,0,0,2,0,0,0,3,-1.0320562061038352,-0.5620950844049546,0,2,-0.44284267924796544
1,0,1,1,-0.09867315991688919,1,0,1,0,2,2,0,0,0,0,0,0,0.5734572086465244,0.1265764892433733,0,2,-0.4482955159028103
1,1,0,0,-1.2802480369298874,1,0,1,0,0,0,2,0,0,0,0,2,0.32913994988016554,-0.9744068299144488,0,0,3.031248300124209
1,0,1,1,1.368109446030281,1,2,0,2,0,2,2,2,2,2,1,3,0.6382760732171912,1.5136919388920012,0,5,-0.5110214349539023
0,0,0,0,1.3273654847539706,1,2,1,2,2,2,0,2,2,0,1,1,1.5374300663641316,2.128155780910457,0,5,-0.5076481387970752
1,0,0,0,1.6125732136881425,1,2,1,0,2,2,0,2,2,2,1,0,1.2000395661629695,2.283475827999021,0,5,-0.5152926754229381
0,0,0,0,-0.8320644628904743,1,2,1,2,0,0,0,0,0,0,1,2,0.47041183420084937,-0.59822833779667,1,0,-0.25468374737712407
1,0,1,1,1.5718292524118322,1,2,0,2,2,0,2,0,0,1,1,1,0.06820246942901982,1.0877033819643973,0,5,-0.5132914300874809
1,0,0,0,-1.1172721918246462,1,0,2,1,1,1,1,1,1,0,0,3,-1.4542098368974081,-0.9571343406557717,1,0,0.10329629719263858
1,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,2,0,0,-1.4558718590658866,-0.5188807721983792,0,4,-0.49552683310032375
0,1,1,0,-0.3023929662984406,1,0,1,0,2,2,0,2,2,0,1,2,1.1202625020759949,0.10200234743728616,1,2,-0.42189115208480094
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4824642137615447,-0.9984515467624158,0,0,2.9075001189341783
0,0,1,1,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,2,-1.5073945462887242,-0.998782437361241,0,0,2.901196264837532
1,0,0,0,0.22727853029359305,1,2,1,0,0,2,2,2,0,1,0,0,1.0039209502824906,0.5833819906082337,0,3,-0.46859447934875736
0,1,1,0,1.368109446030281,0,1,0,0,2,2,0,2,0,1,0,0,-0.6398189743428778,0.3282212201674698,0,5,-0.5097672884387358
1,0,1,0,1.4495973685829016,1,2,1,0,2,2,2,2,2,2,1,0,1.5025276008260804,2.3508892726663486,1,5,-0.5119261081227776
1,0,0,0,-1.1172721918246462,0,1,0,0,0,0,0,0,0,0,0,3,-1.346178395946297,-0.963156549554391,0,0,0.3104047540866869
0,0,1,1,1.6125732136881425,1,2,1,2,2,0,0,2,2,1,1,2,1.3080710071140806,2.214650583443373,0,5,-0.5126186114261386
0,0,0,0,-0.01718523736426863,0,1,0,2,0,0,0,0,0,1,0,3,-1.1517218022342968,-0.5980959815571398,0,2,-0.44627197275608915
1,0,0,0,0.4309983366751445,1,2,1,0,0,0,0,2,2,1,0,3,0.9823146620922681,0.7226648733404015,0,3,-0.4769239758886301
1,0,1,1,1.6125732136881425,1,0,2,1,1,1,1,1,1,2,0,1,-1.509056568457203,-0.4059147217594451,0,5,-0.5127605249014375
1,0,1,0,0.9199258719908678,1,2,1,2,2,0,0,2,0,0,1,2,1.0620917261792426,1.303973477356569,1,4,-0.4972961788963024
0,0,0,0,0.797693988161937,1,0,0,2,0,2,2,0,0,1,0,1,-0.2276374765601766,0.3348390321439745,0,4,-0.49518978696325794
0,0,0,0,0.4309983366751445,1,0,1,0,2,2,0,2,0,0,1,2,0.8925654649944222,0.7371358221956916,0,3,-0.4801385030301654
0,1,1,0,0.18653456901728277,1,2,1,0,0,0,0,0,0,0,1,2,0.3889727479453962,0.25802829447001063,1,3,-0.4674198433523228
0,0,1,1,1.2866215234776603,0,1,0,0,2,0,2,2,2,2,1,2,-0.33899296184824507,0.5030417532134674,0,5,-0.5064795487243178
1,0,1,1,-1.1987601143772668,1,0,1,2,2,0,0,2,0,0,0,2,0.8327326669291911,-0.897772567226525,0,0,0.748212649150955
0,0,0,0,0.1457906077409725,0,1,0,2,0,0,0,0,0,2,0,0,-1.1218054032016815,-0.5104320322417084,0,2,-0.46421491193506037
0,0,1,1,-0.9135523854430948,1,2,1,2,0,0,0,2,2,0,1,2,1.178433277972747,-0.5376532988383974,1,0,-0.2217762654068427
0,0,0,0,0.3495104141225239,1,0,2,1,1,1,1,1,1,2,0,3,-1.4675060142452372,-0.6389058220789184,0,3,-0.47458541850405045
1,0,1,1,-0.22090504374582004,1,2,1,0,2,0,2,0,0,0,1,1,0.6781646052606785,-0.05810458364761617,0,2,-0.42035042026120795
0,0,1,1,0.9606698332671781,1,2,1,0,0,2,0,2,2,1,1,1,1.1634750784564392,1.4259838708300596,0,4,-0.4986544585916003
0,0,0,0,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.4658439920767583,-0.957619646867382,0,0,0.0985426717327588
1,0,0,0,-1.1987601143772668,1,2,1,0,0,0,0,0,0,0,1,2,0.3191678168692938,-0.9060889509436658,1,0,0.611352421211001
0,0,1,1,-1.0357842692720256,1,0,0,2,0,0,0,0,0,0,0,3,-0.46863069098957844,-0.8527935051595485,0,0,-0.03875265676908728
0,0,1,1,-1.1580161531009565,1,0,2,1,1,1,1,1,1,0,0,3,-1.4608579255713225,-0.9796128420026324,0,0,0.6244142409422935
1,0,0,0,0.02355872391204165,1,0,1,2,0,0,2,2,0,2,1,2,0.802816267896576,0.32839769515350997,0,2,-0.457557192338144
0,1,0,0,-0.22090504374582004,1,2,1,0,0,2,0,0,0,0,1,2,0.44049543516823375,-0.06520770183573112,1,2,-0.4314584319329761
1,0,1,0,1.6125732136881425,1,2,2,1,1,1,1,1,1,2,1,0,-1.3711087284734764,-0.24677840309776344,0,5,-0.5148291955639949
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4974224132778524,-0.9986500811217108,0,0,2.9037724905117277
1,1,0,0,1.5718292524118322,0,1,0,2,2,0,0,2,2,1,1,2,-0.2774981416145356,0.7509229304800763,0,5,-0.5129771357243327
0,0,0,0,-0.791320501614164,1,2,1,0,0,0,0,0,2,0,1,2,0.703094937787858,-0.4710339916082507,0,1,-0.3071515548459015
0,0,1,1,-0.3023929662984406,0,1,0,2,2,2,0,2,2,0,1,1,-0.20603118836995443,-0.3444131891244619,1,2,-0.4225667065572263
1,0,0,0,1.4088534073065913,1,0,0,0,0,0,2,0,0,2,0,0,-0.47361675749501453,0.43095172141607685,0,5,-0.5080939297327048
1,0,0,0,-1.2802480369298874,0,1,0,0,0,0,0,0,2,0,1,2,-0.9755474523755615,-0.991723437919636,1,0,2.979413633272181
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,0,0,2,-0.6797075063863649,-0.9715170520180417,1,0,1.4002820972437022
0,0,0,0,0.4309983366751445,1,2,2,1,1,1,1,1,1,2,1,1,-1.2996417752288951,-0.48314458752525424,0,3,-0.48582835367614624
0,0,0,0,-0.38388088885106114,1,0,1,2,0,0,0,0,0,0,1,0,0.3391120828910372,-0.22271162687654159,0,1,-0.4109977217405621
0,0,1,1,1.2866215234776603,1,0,2,1,1,1,1,1,1,2,0,3,-1.4824642137615447,-0.44363625002552154,0,5,-0.5070161478362648
1,0,0,1,1.0014137945434884,1,0,2,1,1,1,1,1,1,2,1,3,-1.5024084797832884,-0.4909315462842747,0,4,-0.5036152484850374
0,1,1,0,-1.2802480369298874,1,0,1,0,0,0,0,0,0,0,1,3,0.18786806555948168,-0.9762818766411252,1,0,3.028385013133186
0,1,1,1,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,1,0.7728998688639604,1.8275527015643613,0,5,-0.5146535855389427
0,0,0,0,-0.9950403079957154,1,2,0,2,0,0,2,0,2,0,0,2,0.21113637591818266,-0.7586882188536525,1,0,-0.10541275874586509
0,0,1,0,1.1643896396487294,1,2,1,0,2,0,0,2,2,2,1,0,1.205025632668405,1.6270771174227807,0,5,-0.5029230841423163
1,0,0,0,1.2866215234776603,1,2,1,2,2,0,0,0,0,1,1,1,0.6482482062280629,1.3260990287313497,0,5,-0.5065099986064706
1,1,1,0,1.5718292524118322,1,2,2,1,1,1,1,1,1,2,0,0,-1.3578125511256471,-0.23255010734827847,0,5,-0.5149127574099736
0,0,1,1,1.3273654847539706,1,2,1,2,2,0,2,2,0,2,1,1,1.1385447459292597,1.8236040737517134,0,5,-0.5083381715933459
1,0,0,0,-1.1987601143772668,1,0,2,1,1,1,1,1,1,1,0,3,-1.5024084797832884,-0.980296682573538,0,0,0.5809175956201642
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,1,2,-0.6364949300059205,-0.9872233257756128,1,0,3.001272369716157
1,0,0,1,-0.09867315991688919,1,0,0,0,2,2,0,2,0,1,0,1,-0.009912572489475751,-0.15589378528709968,0,2,-0.4428584404001007
1,0,1,1,-0.7098325790615434,1,0,0,0,2,2,2,0,2,0,1,3,0.15628964435838757,-0.5346752834489703,0,1,-0.32842099247901657
0,0,1,1,-0.9950403079957154,1,0,0,0,0,0,2,2,2,0,1,2,0.12471122315729345,-0.7583793876280823,0,0,-0.12273958673919493
1,0,0,0,-1.0357842692720256,1,2,1,0,0,0,0,2,2,0,0,3,1.0039209502824906,-0.718165150184189,1,0,-0.037272393491522386
0,0,1,1,1.5310852911355222,1,2,1,2,2,2,0,2,2,1,1,1,1.4410327805923713,2.491495717793817,0,5,-0.5148916953530721
1,0,1,1,1.2051336009250397,1,0,0,2,2,2,2,2,2,2,0,2,0.7080810042932936,1.2935393938069468,0,5,-0.5044309949862592
0,0,1,1,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.499084435446331,-0.9572887562685568,0,0,0.062374070188694786
0,0,1,1,-0.7505765403378537,1,0,1,0,0,0,0,0,2,0,1,0,0.5352306987715161,-0.49876262378980524,0,1,-0.30907799237213424
0,0,0,0,-0.42462485012737144,1,2,1,0,0,0,0,2,0,0,1,0,0.6432621397226272,-0.20354203151793313,0,1,-0.3963680405047282
1,0,1,1,-0.42462485012737144,1,0,2,1,1,1,1,1,1,1,0,3,-1.4841262359300234,-0.822108916961822,0,1,-0.3901289819827976
1,0,1,1,-0.6690886177852331,1,0,0,2,0,2,0,2,0,2,0,3,-0.018222683331868918,-0.5555875692947251,0,1,-0.33616434526467
1,0,0,0,-0.9135523854430948,1,2,2,1,1,1,1,1,1,2,0,0,-1.2996417752288951,-0.8963607673382041,0,0,-0.1938349149356727
0,0,0,1,-0.791320501614164,1,0,0,2,2,0,0,0,0,0,1,2,-0.2924563411308434,-0.6700536571150003,0,1,-0.29802262547139013
0,0,1,0,-0.506112772679992,1,2,1,2,0,0,0,0,0,0,0,2,0.5850913638258751,-0.30483867350496424,1,1,-0.37613129223186265
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.9477149882758802,0,0,1.3002104820313025
1,0,0,0,0.8384379494382472,1,2,0,0,2,2,2,0,2,2,1,0,0.30254759518450747,0.7389667501758579,0,4,-0.4965635293431954
0,0,1,1,-0.8728084241667845,1,0,2,1,1,1,1,1,1,1,0,3,-1.4691680364137156,-0.9041697854704794,0,0,-0.24501435877822392
1,0,1,0,1.4903413298592119,1,0,2,1,1,1,1,1,1,2,0,3,-1.4924363467724167,-0.405826484266425,0,5,-0.5114327970195329
0,0,0,0,-1.1580161531009565,1,0,1,0,0,0,0,0,0,0,1,0,0.2028262650757895,-0.8869193555850574,1,0,0.3783302339808666
1,0,1,0,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,0,0.8061403122335331,1.7520214075391882,0,5,-0.5127047029378138
1,1,1,0,1.0421577558197987,0,1,0,0,2,2,0,0,2,0,1,2,-0.648129085185271,0.16231267391649837,1,4,-0.5023391806018287
0,0,1,1,-0.6690886177852331,1,0,2,1,1,1,1,1,1,0,0,2,-1.4758161250876303,-0.8655658822742024,0,1,-0.3340052696536603
1,0,1,0,0.4309983366751445,1,0,1,2,0,2,2,0,0,1,1,0,0.6465861840595843,0.5541092022988282,0,3,-0.4778605088233879
0,0,1,0,-1.2395040756535771,1,2,1,0,0,2,2,2,2,0,1,2,1.3163811179564737,-0.9002432170310868,1,0,0.9958390056875537
1,0,1,0,-0.7505765403378537,1,0,0,0,2,2,2,2,2,2,0,3,0.5701331643095673,-0.4859902466751512,0,1,-0.312096874162569
0,0,1,0,0.8384379494382472,1,0,1,0,0,2,0,2,2,1,1,0,0.9989348837770544,1.1986620294371253,1,4,-0.49546925768969197
0,0,0,0,-0.01718523736426863,1,0,2,1,1,1,1,1,1,1,0,0,-1.4708300585821945,-0.7185842782760344,0,2,-0.45034869494314694
0,0,1,0,0.06430268518835193,1,2,2,1,1,1,1,1,1,0,0,2,-1.3328822185984677,-0.6631490732861804,0,2,-0.4493637305326128
0,1,0,0,-0.7098325790615434,1,2,1,0,0,0,0,0,0,0,1,3,0.32082983903777235,-0.5018950547920173,1,1,-0.3279927147929705
0,1,0,0,-1.0357842692720256,1,0,1,2,0,0,0,0,0,0,0,0,0.38731072577691766,-0.7851815261329261,1,0,-0.012495752669122409
0,0,1,1,-0.7098325790615434,1,2,1,0,2,2,0,2,2,0,1,0,1.3479595391575674,-0.3194419785997844,0,1,-0.3185337412174702
1,0,1,0,1.1643896396487294,1,0,2,1,1,1,1,1,1,1,1,1,-1.4708300585821945,-0.4549968272518545,0,5,-0.5048153320331911
0,0,0,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,0,-1.1583698909082112,-0.9941499689776877,1,0,2.9616480869985806
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,3,-0.648129085185271,-0.9873777413883978,0,0,3.000681883902868
1,0,0,0,-0.9950403079957154,1,2,1,0,0,0,0,0,2,0,0,0,0.6548962949019775,-0.7150106598087218,1,0,-0.10060677233588496
1,0,1,1,0.02355872391204165,1,0,0,2,0,2,0,2,2,1,0,1,0.33080197204864403,0.0750016745731473,0,2,-0.45359537167295155
0,0,0,0,-0.791320501614164,1,0,1,0,2,2,0,0,0,0,1,2,0.48038396721172105,-0.5169174879786829,1,1,-0.3050324143977535
